country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","12-04-2025 10:00:00",28.567890,77.250515,NH3,8,13,10
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD","12-04-2025 10:00:00",28.6573814,77.1585447,PM2.5,2,174,58
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD","12-04-2025 10:00:00",28.6573814,77.1585447,PM10,9,383,108
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","12-04-2025 10:00:00",28.530785,77.271255,NH3,9,16,11
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","12-04-2025 10:00:00",28.623763,77.287209,PM10,46,189,121
India,Delhi,Delhi,"Pusa, Delhi - DPCC","12-04-2025 10:00:00",28.639652,77.146275,PM2.5,20,103,50
India,Delhi,Delhi,"Pusa, Delhi - DPCC","12-04-2025 10:00:00",28.639652,77.146275,PM10,27,179,97
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB","12-04-2025 10:00:00",12.9135218,77.5950804,NO2,36,38,37
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB","12-04-2025 10:00:00",12.9135218,77.5950804,NH3,6,9,7
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB","12-04-2025 10:00:00",12.9135218,77.5950804,OZONE,23,28,24
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB","12-04-2025 10:00:00",12.9756843,77.5660749,SO2,7,16,11
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB","12-04-2025 10:00:00",13.029152,77.585901,NO2,NA,NA,NA
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB","12-04-2025 10:00:00",13.029152,77.585901,SO2,1,8,4
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB","12-04-2025 10:00:00",12.938539,77.590100,PM10,16,49,31
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","12-04-2025 10:00:00",21.613267,73.010555,PM2.5,27,64,41
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM","12-04-2025 10:00:00",23.163798,72.677768,SO2,2,4,3
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","12-04-2025 10:00:00",23.243639,72.68994,PM10,44,107,71
India,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB","12-04-2025 10:00:00",12.990328,77.5431385,CO,22,44,29
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB","12-04-2025 10:00:00",13.0246342,77.5080115,PM10,NA,NA,NA
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB","12-04-2025 10:00:00",13.0246342,77.5080115,NO2,8,10,8
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB","12-04-2025 10:00:00",13.0246342,77.5080115,CO,30,48,33
India,Karnataka,Bidar,"Naubad, Bidar - KSPCB","12-04-2025 10:00:00",17.930306,77.482194,NH3,2,3,2
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB","12-04-2025 10:00:00",11.55358,76.55521,PM2.5,29,48,34
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB","12-04-2025 10:00:00",11.55358,76.55521,NH3,2,3,2
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB","12-04-2025 10:00:00",11.55358,76.55521,SO2,4,8,4
India,Karnataka,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB","12-04-2025 10:00:00",12.21041,76.37376,PM10,37,70,50
India,Karnataka,Ramanagara,"Vijay Nagar, Ramanagara - KSPCB","12-04-2025 10:00:00",12.733409,77.298051,PM2.5,22,58,40
India,Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB","12-04-2025 10:00:00",13.940000,75.555917,SO2,4,6,5
India,Karnataka,Tumakuru,"Thimmalapura, Tumakuru - KSPCB","12-04-2025 10:00:00",13.377516,77.099072,SO2,6,12,7
India,Karnataka,Yadgir,"Collector Office, Yadgir - KSPCB","12-04-2025 10:00:00",16.7602,77.1428,PM2.5,29,72,42
India,Karnataka,Yadgir,"Collector Office, Yadgir - KSPCB","12-04-2025 10:00:00",16.7602,77.1428,PM10,52,112,73
India,Karnataka,Gadag,"Panchal Nagar, Gadag - KSPCB","12-04-2025 10:00:00",15.411456,75.638133,NH3,2,4,2
India,Karnataka,Gadag,"Panchal Nagar, Gadag - KSPCB","12-04-2025 10:00:00",15.411456,75.638133,CO,42,44,44
India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB","12-04-2025 10:00:00",15.3714823,75.1160168,PM10,43,46,44
India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB","12-04-2025 10:00:00",15.3714823,75.1160168,SO2,2,5,2
India,Karnataka,Kalaburagi,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB","12-04-2025 10:00:00",17.336318,76.847397,NO2,10,20,12
India,Karnataka,Koppal,"Diwator Nagar, Koppal - KSPCB","12-04-2025 10:00:00",15.347630,76.181767,OZONE,21,49,23
India,"Madhya Pradesh",Bhopal,"Paryavaran Parisar, Bhopal - MPPCB","12-04-2025 10:00:00",23.210494,77.425409,PM10,73,118,98
India,"Madhya Pradesh",Bhopal,"T T Nagar, Bhopal - MPPCB","12-04-2025 10:00:00",23.233584,77.400574,PM2.5,28,88,54
India,"Madhya Pradesh",Bhopal,"T T Nagar, Bhopal - MPPCB","12-04-2025 10:00:00",23.233584,77.400574,SO2,14,25,19
India,"Madhya Pradesh",Bhopal,"T T Nagar, Bhopal - MPPCB","12-04-2025 10:00:00",23.233584,77.400574,CO,30,54,39
India,"Madhya Pradesh",Damoh,"Shrivastav Colony, Damoh - MPPCB","12-04-2025 10:00:00",23.81748678,79.446246,PM2.5,17,109,51
India,"Madhya Pradesh",Damoh,"Shrivastav Colony, Damoh - MPPCB","12-04-2025 10:00:00",23.81748678,79.446246,CO,5,38,19
India,Karnataka,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB","12-04-2025 10:00:00",13.428828,77.731418,PM2.5,39,66,49
India,Karnataka,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB","12-04-2025 10:00:00",13.428828,77.731418,OZONE,25,26,25
India,Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB","12-04-2025 10:00:00",13.328028,75.797056,NO2,18,27,25
India,Karnataka,Davanagere,"Devaraj Urs Badavane, Davanagere - KSPCB","12-04-2025 10:00:00",14.475800,75.905200,PM10,3,30,19
India,Karnataka,Davanagere,"Devaraj Urs Badavane, Davanagere - KSPCB","12-04-2025 10:00:00",14.475800,75.905200,SO2,1,8,5
India,Karnataka,Yadgir,"Collector Office, Yadgir - KSPCB","12-04-2025 10:00:00",16.7602,77.1428,NH3,2,5,3
